[2026-07-16 15:18:14,347: INFO: main]: Starting the data science project setup...]
[2026-07-18 18:44:25,368: INFO: common]: YAML file loaded successfully: config\config.yaml]
[2026-07-18 18:44:25,370: INFO: common]: YAML file loaded successfully: params.yaml]
[2026-07-18 18:44:25,370: INFO: common]: YAML file loaded successfully: schema.yaml]
[2026-07-18 18:44:25,370: INFO: common]: Directory created: artifacts]
[2026-07-18 18:44:25,370: INFO: common]: Directory created: artifacts/data_ingestion]
[2026-07-18 18:45:18,011: INFO: common]: yaml file: config\config.yaml loaded successfully]
[2026-07-18 18:45:18,012: INFO: common]: yaml file: params.yaml loaded successfully]
[2026-07-18 18:45:18,013: INFO: common]: yaml file: schema.yaml loaded successfully]
[2026-07-18 18:45:18,013: INFO: common]: Directory created at: artifacts]
[2026-07-18 18:45:18,013: INFO: common]: Directory created at: artifacts/data_ingestion]
